variable,threshold,threshold_CI_lo,threshold_CI_hi,slope_below,slope_below_CI,slope_above,slope_above_CI,slope_ratio,p_below,p_above
mean_vpd_mean,0.634254324369889,0.48067267094508553,1.6737397075544334,5.398643319178772,"[0.3208, 10.6263]",1.5906753689951092,"[1.1060, 5.7267]",0.2946435381911985,6.2462466939465444e-09,8.793911484943463e-14
mean_daytime_hours_above_30,9.92785014100979,0.9324661648445234,16.558415010113098,0.16094228228071972,"[-0.0046, 2.0972]",0.03769654763924092,"[-0.0359, 0.0781]",0.2342240156225051,2.3520233260036993e-05,0.03885640888564694
mean_nighttime_hours_above_24,36.53604963099963,27.595157260068937,45.44768988544268,0.05358225992827294,"[0.0193, 0.0909]",0.09923667895710259,"[0.0466, 0.2155]",1.852043551166827,8.815528000296392e-10,1.391338336602453e-09
