Threshold,Category,Variable,Pearson_r,Pearson_p,Spearman_r,Spearman_p,N,Mean_Hours,Max_Hours
>25°C,Mild Heat,mean_daytime_hours_above_25,-2.7643505179683794e-05,0.9985403618811755,-0.0030380126261074667,0.8406599245518876,4382,71832935707481.72,249932265446224.0
>30°C,Moderate Heat,mean_daytime_hours_above_30,0.04435078859980432,0.003319579913120517,0.06969266991920793,3.879752178748355e-06,4382,28661416326026.566,162172523961661.0
>35°C,Severe Heat,mean_daytime_hours_above_35,0.14548328571818941,3.692360824309833e-22,0.12240600464124786,4.252315202968971e-16,4382,5907335963340.509,89662242562929.0
>40°C,Extreme Heat,mean_daytime_hours_above_40,0.16756599604401423,5.83533194704639e-29,0.16517928368211834,3.540278301330951e-28,4382,338563177267.3895,35637528604119.0
<5°C,Mild Cold,mean_daytime_hours_below_5,-0.011920938832669849,0.43015325401974913,0.048575138991929896,0.0012976719863354912,4382,48186198635109.65,279592332268370.0
<0°C,Moderate Cold,mean_daytime_hours_below_0,-0.024257685112693047,0.10837144393323012,0.040935425454302746,0.006725238720206718,4382,20852500933381.902,236784439359267.0
<-5°C,Severe Cold,mean_daytime_hours_below_neg5,-0.03982793590029155,0.008369931960741294,0.039212948216496915,0.009430928309751733,4382,4497517530371.899,150087871853546.0
