,PC1,PC2
heat30,0.5233757246167471,0.028815476911194637
heat35,0.46308293374653986,0.7760742598700692
night21,0.48915847262119755,-0.6136967465069485
vpd_mean,0.5218774147417095,-0.14231905980679802
