Component,Explained_Variance,Cumulative_Variance
PC1,0.8668100930714925,0.8668100930714925
PC2,0.10340141908487939,0.9702115121563719
PC3,0.02039736063537161,0.9906088727917435
PC4,0.009391127208256576,1.0
