week_ending,region,year,month,season,decade,total_beef_dairy,mean_daytime_hours_above_30,mean_daytime_hours_above_35,mean_nighttime_hours_above_21,mean_vpd_mean,mean_vpd_max,heat_vpd_product,heat_vpd_recovery_compound,extreme_stress_compound,weighted_compound_index,threshold_score,pca_compound_index,stress_category
1984-12-08,4,1984,12,Winter,1980,23.8,0.0,0.0,2.658146964856389,0.2459040880203247,0.4710811376571655,0.0,0.0,0.0,0.01955905487340647,0,-2.0984291720068837,Minimal
1984-12-15,4,1984,12,Winter,1980,20.2,0.0,0.0,2.421725239616667,0.31007900834083557,0.680280864238739,0.0,0.0,0.0,0.025448492246859494,0,-1.9420007465599376,Minimal
1984-12-22,4,1984,12,Winter,1980,11.4,0.0,0.0,6.7284345047925,0.3628861904144287,0.78648442029953,0.0,0.0,0.0,0.04316716403469618,0,-1.7719794633206638,Minimal
1984-12-29,4,1984,12,Winter,1980,16.5,0.0,0.0,6.766773162939445,0.3969977796077728,0.792992889881134,0.0,0.0,0.0,0.046766658351762136,0,-1.7405551973842734,Minimal
1985-01-05,4,1985,1,Winter,1980,22.7,0.0,0.0,5.498402555910555,0.26245540380477905,0.5239859223365784,0.0,0.0,0.0,0.029374801086604133,0,-2.0098937676188764,Minimal
1985-01-12,4,1985,1,Winter,1980,19.4,0.0,0.0,0.3961661341855556,0.2583005726337433,0.49150168895721436,0.0,0.0,0.0,0.014358595163914129,0,-2.1158463015642472,Minimal
1985-01-19,4,1985,1,Winter,1980,15.2,0.0,0.0,0.3194888178913889,0.2625803053379059,0.4794043004512787,0.0,0.0,0.0,0.014577163675952808,0,-2.119992850499695,Minimal
1985-01-26,4,1985,1,Winter,1980,18.6,0.0,0.0,0.22044728434527777,0.21574370563030243,0.3830992579460144,0.0,0.0,0.0,0.009502216139593561,0,-2.209384450627519,Minimal
1985-02-02,4,1985,2,Winter,1980,18.7,0.0,0.0,2.3003194888180554,0.19627498090267181,0.36628907918930054,0.0,0.0,0.0,0.013458350255157379,0,-2.1988271154372234,Minimal
1985-02-09,4,1985,2,Winter,1980,18.4,0.009584664536944445,0.0,2.0,0.21313641965389252,0.3751254975795746,0.0020428410829879725,0.0024514092995855667,0.0,0.014430937218936473,0,-2.185330975449655,Minimal
1985-02-16,4,1985,2,Winter,1980,19.9,0.0,0.0,0.20447284345055555,0.2883380353450775,0.483880877494812,0.0,0.0,0.0,0.016883443092962847,0,-2.09891069842673,Minimal
1985-02-23,4,1985,2,Winter,1980,18.7,0.0,0.0,2.9872204472844444,0.39826521277427673,0.7348456978797913,0.0,0.0,0.0,0.03608773727203605,0,-1.8332884343636622,Minimal
1985-03-02,4,1985,3,Spring,1980,18.0,0.15974440894583333,0.0,5.897763578275,0.40350016951560974,0.7623739838600159,0.06445689608881464,0.10247204950094135,0.0,0.04671979512687176,0,-1.7591613482077322,Minimal
1985-03-09,4,1985,3,Spring,1980,18.9,0.27476038338666664,0.0,8.204472843450555,0.543913722038269,0.9467887282371521,0.14944594279650364,0.27205846072028156,0.0,0.0689583031774745,0,-1.5068586102785106,Minimal
1985-03-16,4,1985,3,Spring,1980,18.0,0.6198083067094444,0.0,9.878594249201388,0.6327104568481445,1.0551663637161255,0.3921591968964075,0.7795573556196361,0.0,0.08666019442500664,0,-1.3365481898413991,Minimal
1985-03-23,4,1985,3,Spring,1980,17.0,0.0,0.0,2.9392971246008335,0.49707531929016113,0.85340815782547,0.0,0.0,0.0,0.046059656440599256,0,-1.6930459270635299,Minimal
1985-03-30,4,1985,3,Spring,1980,17.5,0.15015974440916666,0.0,14.504792332268611,0.6831042766571045,1.1583638191223145,0.10257476358763948,0.2513573280246653,0.0,0.09983285554668445,0,-1.1843722365419216,Moderate
1985-04-06,4,1985,4,Spring,1980,17.3,0.2683706070288889,0.0,10.65175718849861,0.7383413314819336,1.2014018297195435,0.19814911132432458,0.40921273341867315,0.0,0.09577732102602984,0,-1.1773833235912612,Moderate
1985-04-13,4,1985,4,Spring,1980,18.6,0.0,0.0,7.354632587859444,0.7527090311050415,1.1839611530303955,0.0,0.0,0.0,0.08483955123121364,0,-1.2415719550186886,Minimal
1985-04-20,4,1985,4,Spring,1980,17.3,0.8178913738019444,0.0,21.3162939297125,0.9344353675842285,1.5507450103759766,0.7642666265225896,2.393399831685122,0.0,0.15243635355015966,1,-0.6359031441235791,Moderate
1985-04-27,4,1985,4,Spring,1980,16.6,5.6869009584666665,0.0,33.02875399361028,1.2528467178344727,2.0065293312072754,7.12481520046468,30.657192051072983,0.0,0.27254937120944434,1,0.2580765298200594,Moderate
1985-05-04,4,1985,5,Spring,1980,16.3,2.680511182108889,0.0031948881791666666,33.198083067092774,1.0569349527359009,1.6620118618011475,2.8331259595703124,12.238561054105528,0.013724418911120634,0.21962166638887082,1,-0.20150390155763087,Moderate
1985-05-11,4,1985,5,Spring,1980,15.9,3.5814696485625,0.0,31.146964856230277,1.079014539718628,1.6756244897842407,3.864457824359902,15.9010710287321,0.0,0.22601487115208135,1,-0.1736889265370732,Moderate
1985-05-18,4,1985,5,Spring,1980,17.3,9.271565495207778,0.6070287539936111,43.53354632587833,1.3338053226470947,1.9905741214752197,12.36646340677928,66.20206416740977,4.398264842484661,0.3506603539323889,1,0.7090369566428995,Moderate
1985-05-25,4,1985,5,Spring,1980,15.9,4.8402555910544445,0.0,39.6837060702875,1.2222083806991577,1.855702519416809,5.915800948112697,29.391891547635936,0.0,0.27904921220454565,1,0.23124833121720276,Moderate
1985-06-01,4,1985,6,Summer,1980,16.2,17.418530351437777,2.4664536741216665,50.923322683705834,1.6950527429580688,2.5027546882629395,29.52532765050298,179.87810637937352,27.82748277401625,0.4991769721655511,1,1.9379931808144009,Moderate
1985-06-08,4,1985,6,Summer,1980,15.6,30.204472843450556,12.990415335463334,64.84025559105417,2.103515148162842,3.176753044128418,63.535566168471426,475.50180111707357,263.45176264607187,0.7226794343068942,4,4.554619583482695,High
1985-06-15,4,1985,6,Summer,1980,16.1,11.693290734824444,1.357827476038611,54.239616613418335,1.3788273334503174,2.0405805110931396,16.12302888315729,103.57371941010946,13.395234538367925,0.41276257451010956,1,1.1359887619202063,Moderate
1985-06-22,4,1985,6,Summer,1980,17.7,14.603833865814723,0.55910543131,54.18849840255584,1.4656158685684204,2.1806929111480713,21.403610655674957,137.3865628380719,5.6431597604000086,0.4538004304186648,1,1.3112790171916326,Moderate
1985-06-29,4,1985,6,Summer,1980,9.7,22.4345047923325,2.8434504792333333,63.17252396166111,1.8002504110336304,2.5847270488739014,40.387726473732535,295.5271883156209,42.76354114316055,0.6006428854252329,2,2.523232537086922,Moderate
1985-07-06,4,1985,7,Summer,1980,18.1,10.476038338658332,0.07667731629416667,55.64536741214056,1.2767070531845093,1.9171912670135498,13.374832036396421,87.79957631049112,0.6541960944784025,0.3928244146364384,1,0.82017505151906,Moderate
1985-07-13,4,1985,7,Summer,1980,18.0,30.233226837060833,4.4664536741216665,66.25878594249194,1.8220202922821045,2.707488536834717,55.085552798292746,420.0757379368844,76.35509002127964,0.698256328822326,2,3.163786810717212,High
1985-07-20,4,1985,7,Summer,1980,15.4,29.108626198083332,3.3610223642175,66.9776357827475,1.7980656623840332,2.6607918739318848,52.33922124594593,402.89495102230654,58.960816552385396,0.6853790656075953,2,2.962496500143869,High
