date,week,region_4_dairy,region_4_beef_dairy,region_6_dairy,region_6_beef_dairy,region_4_total,region_6_total,regions_4_6_total,year,month,year_week,region_4_hours_above_21,region_6_hours_above_21,combined_hours_above_21,region_4_hours_above_24,region_6_hours_above_24,combined_hours_above_24,region_4_hours_below_18_above_0,region_6_hours_below_18_above_0,combined_hours_below_18_above_0,region_4_hours_below_0,region_6_hours_below_0,combined_hours_below_0
1984-01-07,1.0,10.3,21.3,6.8,29.9,31.6,36.699999999999996,68.3,1984,1,1984-W01,0.0,0.5560640732272223,0.324,0.0,0.07322654462277778,0.042666666666666665,48.89456869009528,57.30205949656667,53.79333333333333,20.837060702876112,10.224256292906944,14.653333333333332
1984-01-14,2.0,9.6,19.1,5.2,20.9,28.700000000000003,26.099999999999998,54.8,1984,1,1984-W02,0.2555910543141667,0.22654462242611112,0.23866666666666667,0.0,0.0320366132725,0.018666666666666668,47.862619808306114,49.93363844393528,49.06933333333333,20.130990415336388,18.99313501144222,19.468
1984-01-21,3.0,9.2,17.9,5.9,22.0,27.099999999999998,27.9,55.0,1984,1,1984-W03,1.1469648562308334,0.009153318078055556,0.484,0.1565495207675,0.0,0.06533333333333334,33.9488817891375,30.663615560641112,32.034666666666666,32.709265175719445,39.29061784897,36.544
1984-01-28,4.0,9.7,18.2,6.6,24.8,27.9,31.4,59.3,1984,1,1984-W04,1.7028753993619445,0.5789473684216666,1.048,0.3642172523966667,0.029748283753055556,0.16933333333333334,48.39297124600583,52.7574370709375,50.936,17.143769968051945,14.643020594966389,15.686666666666667
1984-02-04,5.0,8.9,17.2,5.1,20.8,26.1,25.9,52.0,1984,2,1984-W05,0.34824281150194447,0.7551487414194444,0.5853333333333333,0.0063897763580555555,0.016018306636666667,0.012,55.8785942492,61.47597254004472,59.14,12.779552715655834,4.848970251716945,8.158666666666667
1984-02-11,6.0,8.0,17.3,5.0,21.7,25.3,26.7,52.0,1984,2,1984-W06,0.2779552715661111,2.6979405034330557,1.688,0.0,0.8627002288333333,0.5026666666666666,45.437699680510555,55.391304347825276,51.23733333333333,21.70607028754028,7.265446224257222,13.292
1984-02-18,7.0,8.0,17.8,4.9,21.0,25.8,25.9,51.7,1984,2,1984-W07,1.961661341853611,5.7437070938222226,4.165333333333334,0.24281150159833334,2.237986270024167,1.4053333333333333,60.11501597444,52.87871853546833,55.89866666666667,0.07667731629416667,4.025171624715,2.3773333333333335
1984-02-25,8.0,7.3,15.2,4.6,21.8,22.5,26.4,48.9,1984,2,1984-W08,2.434504792333333,3.2036613272316665,2.8826666666666667,0.5942492012788889,0.8878718535480555,0.7653333333333333,63.817891373800556,58.70709382150972,60.84,0.6006389776361112,4.762013729978055,3.025333333333333
1984-03-03,9.0,7.4,18.0,4.7,24.4,25.4,29.099999999999998,54.5,1984,3,1984-W09,0.8274760383388888,3.599542334096945,2.4426666666666668,0.2364217252397222,1.3455377574375,0.8826666666666667,52.9904153354625,54.9656750572075,54.141333333333336,14.220447284345834,6.853546910756111,9.928
1984-03-10,10.0,7.0,18.4,4.0,22.5,25.4,26.5,51.9,1984,3,1984-W10,1.7731629392983332,2.887871853547778,2.4226666666666667,0.30670926517638886,0.9016018306644444,0.6533333333333333,53.706070287538886,55.91533180777972,54.99333333333333,10.146964856230834,5.945080091533889,7.698666666666666
1984-03-17,11.0,6.1,17.3,4.2,21.8,23.4,26.0,49.4,1984,3,1984-W11,7.600638977636944,17.94736842105361,13.629333333333333,1.7795527156558333,9.935926773456389,6.532,50.261980830670275,39.33409610984028,43.894666666666666,3.8466453674130556,0.4370709382161111,1.86
1984-03-24,12.0,6.4,17.9,3.7,21.7,24.299999999999997,25.4,49.699999999999996,1984,3,1984-W12,6.7731629392980555,11.1601830663625,9.329333333333333,1.4792332268383332,5.107551487415278,3.5933333333333333,53.603833865813336,46.425629290616946,49.42133333333334,0.23642172524083332,1.448512585813611,0.9426666666666667
1984-03-31,13.0,5.9,17.5,3.6,22.2,23.4,25.8,49.2,1984,3,1984-W13,6.150159744409723,10.65446224256361,8.774666666666667,2.0191693290744444,5.544622425630277,4.073333333333333,55.207667731628334,49.02745995423222,51.60666666666667,0.27156549520805556,1.5125858123577778,0.9946666666666667
1984-04-07,14.0,5.7,18.6,3.7,25.0,24.3,28.7,53.0,1984,4,1984-W14,3.6837060702883333,11.599542334097222,8.296,0.8594249201288889,4.8100686498869445,3.1613333333333333,58.115015974440276,46.7757437070925,51.508,0.019169329073888887,0.9199084668199999,0.5439999999999999
1984-04-14,15.0,6.0,19.7,3.8,27.9,25.7,31.7,57.4,1984,4,1984-W15,9.712460063898611,23.643020594966945,17.829333333333334,2.779552715656389,13.176201372998612,8.837333333333333,50.028753993609165,33.363844393593055,40.318666666666665,0.0,0.38215102974916665,0.22266666666666668
1984-04-21,16.0,5.5,18.9,3.2,29.7,24.4,32.9,57.3,1984,4,1984-W16,8.175718849841388,23.842105263159166,17.304000000000002,3.5623003194897223,14.208237986270555,9.765333333333333,53.82428115015889,34.29977116704806,42.448,0.0,0.1647597254011111,0.096
1984-04-28,17.0,5.3,18.9,3.2,31.1,24.2,34.300000000000004,58.5,1984,4,1984-W17,24.297124600639723,34.38672768878695,30.176000000000002,11.325878594250556,21.800915331808888,17.429333333333332,30.936102236421668,24.85125858123611,27.390666666666668,0.0,0.4851258581244444,0.2826666666666667
1984-05-05,18.0,4.6,16.3,2.9,30.9,20.9,33.8,54.699999999999996,1984,5,1984-W18,30.642172523962223,38.016018306635836,34.93866666666666,11.881789137380833,24.311212814645554,19.124,22.361022364218336,21.31121281464639,21.749333333333333,0.0,0.11670480549222222,0.068
1984-05-12,19.0,4.3,18.6,3.2,34.9,22.900000000000002,38.1,61.0,1984,5,1984-W19,32.910543130990554,45.407322654461666,40.192,16.335463258786945,33.29977116704806,26.22,25.648562300320002,15.299771167049167,19.618666666666666,0.0,0.0114416475975,0.006666666666666667
1984-05-19,20.0,4.7,19.9,3.2,31.5,24.599999999999998,34.7,59.3,1984,5,1984-W20,28.936102236422222,49.62013729977028,40.988,15.67412140575139,31.718535469108055,25.022666666666666,26.277955271565833,9.153318077804444,16.3,0.0,0.0,0.0
