Model,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE,Overfit
Linear Regression,0.2951662601269359,3.928316463012589,2.9717119596897303,0.49535091189114233,4.293718254852942,3.4917714359001857,-0.2001846517642064
Ridge Regression,0.29508228453197416,3.928550470600724,2.9709869310551924,0.49577763777673045,4.291902509751443,3.4889513963715815,-0.2006953532447563
Lasso Regression,0.2601839452720932,4.024621104750771,3.0353310567399276,0.4727516884514842,4.388806120443373,3.573038231317304,-0.21256774317939098
Random Forest,0.6948875140439335,2.5845986587891163,2.019355432669664,0.4951849383389384,4.294424275236385,3.4485106202390288,0.19970257570499506
Gradient Boosting,0.7066566527816323,2.534260450313726,1.9652102154380635,0.47715572146976226,4.37043813512815,3.506577482590028,0.22950093131187
