Model,R²,Adj R²,AIC,BIC,N Parameters
Additive,0.36160404256654644,0.36058237551075445,24678.369958309613,24729.452042470857,8
Two-way Interactions,0.3625748343742292,0.3611165292595512,24677.70129536716,24747.939161088867,11
Three-way Interaction,0.3627119413640172,0.36110778377935004,24678.758647530558,24755.381773772424,12
