week_ending,region,mean_nighttime_hours_below_18_above_0,mean_nighttime_hours_below_21_above_0,mean_nighttime_hours_below_24_above_0,mean_nighttime_hours_above_21,mean_nighttime_hours_above_24,mean_nighttime_hours_below_0,mean_nighttime_hours_below_neg5,mean_nighttime_hours_below_neg10,mean_daytime_hours_above_25,mean_daytime_hours_above_30,mean_daytime_hours_above_35,mean_daytime_hours_above_40,mean_daytime_hours_below_neg5,mean_daytime_hours_below_0,mean_daytime_hours_below_5,mean_vpd_mean,mean_vpd_min,mean_vpd_max
1984-01-07,region_4,48.894568690095845,49.1629392971246,49.1629392971246,0.0,0.0,20.837060702875398,2.779552715654952,0.4249201277955272,0.0,0.0,0.0,0.0,4.961661341853035,27.207667731629392,53.00958466453674,0.21000893414020538,0.035209208726882935,0.4390830099582672
1984-01-14,region_4,47.86261980830671,49.61341853035144,49.86900958466454,0.25559105431309903,0.0,20.130990415335464,2.8881789137380194,0.24281150159744408,0.0,0.0,0.0,0.0,5.60702875399361,25.21405750798722,51.57188498402556,0.16491761803627014,0.04602675512433052,0.3237774968147278
1984-01-21,region_4,33.94888178913738,36.14376996805112,37.13418530351438,1.1469648562300319,0.15654952076677317,32.70926517571885,11.667731629392971,4.482428115015974,0.18849840255591055,0.0,0.0,0.0,17.88817891373802,39.13418530351438,60.239616613418534,0.1395629495382309,0.04483027011156082,0.2531287670135498
1984-01-28,region_4,48.39297124600639,51.153354632587856,52.49201277955272,1.7028753993610224,0.36421725239616615,17.143769968051117,4.776357827476039,1.9073482428115016,0.6134185303514377,0.0,0.0,0.0,6.527156549520766,20.769968051118212,46.054313099041536,0.16462065279483795,0.03425309434533119,0.3376997411251068
1984-02-04,region_4,55.87859424920128,56.87220447284345,57.21405750798722,0.34824281150159747,0.006389776357827476,12.779552715654953,0.3865814696485623,0.0,0.009584664536741214,0.0,0.0,0.0,1.731629392971246,16.638977635782748,41.12140575079872,0.2689313292503357,0.04488985240459442,0.531112790107727
1984-02-11,region_4,45.43769968051118,48.01277955271566,48.29392971246006,0.2779552715654952,0.0,21.706070287539937,6.02555910543131,0.1853035143769968,0.0,0.0,0.0,0.0,9.53035143769968,28.51437699680511,45.17252396166134,0.272708535194397,0.061903730034828186,0.5016641020774841
1984-02-18,region_4,60.115015974440894,67.95846645367412,69.68051118210863,1.961661341853035,0.24281150159744408,0.07667731629392971,0.0,0.0,0.19808306709265175,0.0,0.0,0.0,0.0,0.7124600638977636,9.418530351437699,0.34103262424468994,0.043496306985616684,0.7050703167915344
1984-02-25,region_4,63.81789137380192,66.96485623003196,68.80511182108626,2.4345047923322682,0.5942492012779552,0.6006389776357828,0.0,0.0,0.6325878594249201,0.0,0.0,0.0,0.0,3.242811501597444,18.664536741214057,0.3349219262599945,0.05068511515855789,0.6404016017913818
1984-03-03,region_4,52.99041533546326,54.95207667731629,55.543130990415335,0.8274760383386581,0.2364217252396166,14.220447284345047,1.3258785942492013,0.0,0.18849840255591055,0.0,0.0,0.0,2.4792332268370605,22.271565495207668,46.0,0.3014918863773346,0.07393945753574371,0.5237352848052979
1984-03-10,region_4,53.70607028753994,58.07987220447284,59.546325878594246,1.7731629392971247,0.30670926517571884,10.146964856230031,1.0830670926517572,0.0,0.4249201277955272,0.0,0.0,0.0,2.693290734824281,16.089456869009584,35.09904153354633,0.3291914165019989,0.08381803333759308,0.5568119287490845
1984-03-17,region_4,50.26198083067093,58.552715654952074,64.370607028754,7.600638977635783,1.779552715654952,3.8466453674121404,0.14376996805111822,0.0,1.3993610223642172,0.0,0.0,0.0,0.3769968051118211,5.325878594249201,18.14696485623003,0.4152892529964447,0.06781244277954102,0.7852911353111267
1984-03-24,region_4,53.6038338658147,62.99041533546326,68.28434504792332,6.773162939297125,1.4792332268370607,0.2364217252396166,0.0,0.0,1.8210862619808306,0.0,0.0,0.0,0.0,1.4600638977635783,13.297124600638977,0.47450241446495056,0.08870650827884674,0.8501505255699158
1984-03-31,region_4,55.20766773162939,63.575079872204476,67.70607028753993,6.1501597444089455,2.0191693290734825,0.2715654952076677,0.0,0.0,2.594249201277955,0.0,0.0,0.0,0.0,1.6357827476038338,11.169329073482428,0.43434497714042664,0.10608604550361633,0.739365816116333
1984-04-07,region_4,58.115015974440894,66.29712460063898,69.12140575079871,3.68370607028754,0.8594249201277955,0.019169329073482427,0.0,0.0,0.8881789137380192,0.0,0.0,0.0,0.0,1.281150159744409,9.309904153354633,0.5143448114395142,0.1205500066280365,0.8577769994735718
1984-04-14,region_4,50.02875399361022,60.287539936102235,67.21405750798722,9.712460063897764,2.779552715654952,0.0,0.0,0.0,3.1054313099041533,0.003194888178913738,0.0,0.0,0.0,0.006389776357827476,3.801916932907348,0.5332111120223999,0.1188558042049408,0.9005823135375977
1984-04-21,region_4,53.82428115015974,61.82428115015974,66.43769968051119,8.175718849840255,3.562300319488818,0.0,0.0,0.0,3.8881789137380194,0.10223642172523961,0.0,0.0,0.0,0.003194888178913738,3.536741214057508,0.5456708669662476,0.1352466493844986,0.8956932425498962
1984-04-28,region_4,30.936102236421725,45.70287539936102,58.65814696485623,24.297124600638977,11.3258785942492,0.0,0.0,0.0,12.920127795527156,0.5079872204472844,0.0,0.0,0.0,0.0,1.3738019169329074,0.6838945746421814,0.17239925265312195,1.1505826711654663
1984-05-05,region_4,22.361022364217252,39.33865814696485,58.11821086261981,30.642172523961662,11.881789137380192,0.0,0.0,0.0,13.47923322683706,1.3642172523961662,0.0,0.0,0.0,0.0,0.2715654952076677,0.6767109036445618,0.19629712402820587,1.0982730388641357
1984-05-12,region_4,25.64856230031949,37.08306709265176,53.65814696485623,32.91054313099041,16.335463258785943,0.0,0.0,0.0,16.14696485623003,1.5623003194888179,0.0,0.0,0.0,0.0,0.5527156549520766,0.7867727279663086,0.24554067850112915,1.2355279922485352
1984-05-19,region_4,26.277955271565496,41.06070287539936,54.325878594249204,28.936102236421725,15.6741214057508,0.0,0.0,0.0,16.884984025559106,1.8338658146964857,0.006389776357827476,0.0,0.0,0.009584664536741214,1.2875399361022364,1.0604054927825928,0.3785107433795929,1.584010124206543
