feature
mean_nighttime_hours_below_0
mean_daytime_hours_above_25_lag1
mean_daytime_hours_above_25_lag2
mean_daytime_hours_below_0_lag2
mean_daytime_hours_below_neg5_lag3
mean_daytime_hours_above_25_lag4
mean_nighttime_hours_below_24_above_0_lag8
mean_daytime_hours_above_25_lag8
mean_daytime_hours_above_30_lag8
mean_vpd_max_lag8
mean_nighttime_hours_below_neg5_roll2
mean_daytime_hours_above_25_roll2
mean_daytime_hours_below_5_roll2
mean_vpd_min_roll2
mean_vpd_max_roll2
mean_daytime_hours_above_25_roll4
mean_daytime_hours_below_5_roll4
mean_daytime_hours_above_25_roll8
mean_daytime_hours_above_40_roll8
mean_daytime_hours_below_neg5_roll8
mean_daytime_hours_below_0_roll8
mean_vpd_max_roll8
week_sin
mean_daytime_hours_above_40_log1p
mean_nighttime_hours_above_24_lag1_has
mean_nighttime_hours_above_24_lag2_has
mean_daytime_hours_above_35_lag2_has
mean_daytime_hours_above_40_lag2_log1p
mean_nighttime_hours_above_24_lag3_has
mean_daytime_hours_above_35_lag3_has
mean_daytime_hours_above_40_lag3_log1p
mean_nighttime_hours_above_24_lag4_has
mean_daytime_hours_above_35_lag4_has
mean_nighttime_hours_above_24_lag8_has
mean_daytime_hours_above_35_lag8_has
mean_daytime_hours_above_40_lag8_log1p
mean_nighttime_hours_above_24_roll2_has
mean_nighttime_hours_above_24_roll8_log1p
mean_daytime_hours_above_35_roll8_has
